date,temperature_2m_min,soil_temperature_28_to_100cm_min,soil_moisture_28_to_100cm_min,precipitation_min,temperature_2m_max,soil_temperature_28_to_100cm_max,soil_moisture_28_to_100cm_max,precipitation_max,water_leakage
2025-03-30 00:00:00+00:00,3.8,8.35,0.342,0.0,15.35,8.85,0.409,0.5,4178.17
2025-04-06 00:00:00+00:00,4.65,8.85,0.392,0.0,14.65,9.45,0.423,0.0,4030.09
2025-04-13 00:00:00+00:00,4.3,9.1,0.327,0.0,17.4,9.55,0.415,0.3,3911.68
2025-04-20 00:00:00+00:00,6.35,9.6,0.328,0.0,14.8,10.15,0.349,1.6,3986.02
2025-04-27 00:00:00+00:00,5.65,10.15,0.34,0.0,16.15,10.4,0.358,2.3,4447.99
2025-05-04 00:00:00+00:00,7.05,10.4,0.29,0.0,18.3,11.8,0.34,0.3,4540.59
2025-05-11 00:00:00+00:00,5.2,11.1,0.289,0.0,17.25,11.8,0.323,0.3,4558.87
2025-05-18 00:00:00+00:00,7.3,11.5,0.259,0.0,19.55,12.45,0.289,1.7,5101.18
2025-05-25 00:00:00+00:00,5.1,12.5,0.252,0.0,20.85,12.7,0.263,1.2,5213.85
2025-06-01 00:00:00+00:00,11.2,12.7,0.238,0.0,23.95,13.95,0.252,1.5,4789.67
2025-06-08 00:00:00+00:00,9.75,13.95,0.226,0.0,19.45,14.3,0.24,3.5,4282.53
2025-06-15 00:00:00+00:00,11.25,13.85,0.188,0.0,24.45,14.95,0.226,7.5,5123.56
2025-06-22 00:00:00+00:00,13.65,14.95,0.179,0.0,29.35,16.9,0.19,0.0,5357.15
2025-06-29 00:00:00+00:00,13.95,16.9,0.18,0.0,29.3,17.7,0.193,1.6,5805.43
2025-07-06 00:00:00+00:00,12.3,17.7,0.18,0.0,31.7,18.45,0.191,6.7,5653.66
2025-07-13 00:00:00+00:00,12.4,18.05,0.158,0.0,24.95,18.6,0.191,1.2,5524.46
2025-07-20 00:00:00+00:00,14.75,18.6,0.165,0.0,26.3,18.9,0.188,6.7,5095.72
2025-07-27 00:00:00+00:00,14.85,18.35,0.16,0.0,24.2,18.85,0.175,6.8,4851.39
2025-08-03 00:00:00+00:00,12.9,18.05,0.135,0.0,23.3,18.4,0.161,1.0,5065.95
2025-08-10 00:00:00+00:00,11.8,17.9,0.127,0.0,25.15,18.25,0.142,0.9,5357.53
2025-08-17 00:00:00+00:00,15.05,18.25,0.128,0.0,28.1,19.3,0.13,0.6,4721.28
2025-08-24 00:00:00+00:00,10.95,18.75,0.13,0.0,22.1,19.3,0.132,0.2,5192.91
2025-08-31 00:00:00+00:00,13.65,18.4,0.132,0.0,24.4,18.8,0.138,2.3,4463.68
2025-09-07 00:00:00+00:00,12.25,17.7,0.136,0.0,26.05,18.4,0.152,3.2,4366.2
2025-09-14 00:00:00+00:00,10.3,17.05,0.136,0.0,20.5,17.8,0.146,4.7,4223.28
2025-09-21 00:00:00+00:00,10.4,16.75,0.145,0.0,25.65,17.05,0.152,1.9,3995.27
2025-09-28 00:00:00+00:00,7.75,15.9,0.152,0.0,17.7,17.0,0.165,0.5,4421.19
2025-10-05 00:00:00+00:00,7.9,15.4,0.162,0.0,19.75,15.9,0.173,3.7,4640.47
2025-10-12 00:00:00+00:00,7.7,15.05,0.162,0.0,18.4,15.4,0.182,0.1,4482.67
2025-10-19 00:00:00+00:00,10.4,14.65,0.182,0.0,15.9,15.05,0.208,0.3,4302.98
2025-10-26 00:00:00+00:00,4.95,13.45,0.2,0.0,15.9,14.65,0.232,7.3,4045.4
2025-11-02 00:00:00+00:00,6.5,12.85,0.23,0.0,16.05,13.45,0.246,3.5,4090.76
2025-11-09 00:00:00+00:00,6.8,12.85,0.242,0.0,16.8,13.45,0.265,0.8,4128.74
2025-11-16 00:00:00+00:00,5.9,13.1,0.264,0.0,16.65,13.3,0.289,2.1,4225.44
2025-11-23 00:00:00+00:00,-0.65,9.75,0.291,0.0,10.2,13.1,0.311,1.7,4824.63
2025-11-30 00:00:00+00:00,0.85,9.1,0.309,0.0,13.15,9.75,0.326,1.1,4883.29
2025-12-07 00:00:00+00:00,1.45,9.15,0.326,0.0,13.75,9.65,0.333,2.0,4985.23
2025-12-14 00:00:00+00:00,4.0,9.4,0.333,0.0,14.15,10.3,0.339,1.1,5088.82
2025-12-21 00:00:00+00:00,2.75,9.75,0.339,0.0,12.45,10.1,0.346,3.3,4295.36
2025-12-28 00:00:00+00:00,4.35,8.8,0.346,0.0,10.15,9.8,0.35,0.1,5336.64
2026-01-04 00:00:00+00:00,-2.55,6.6,0.348,0.0,6.5,8.8,0.354,0.2,6225.23
2026-01-11 00:00:00+00:00,-3.9,5.2,0.351,0.0,8.4,6.55,0.363,3.9,6098.52
2026-01-18 00:00:00+00:00,-0.3,5.2,0.362,0.0,10.45,7.05,0.38,1.7,5967.35
2026-01-25 00:00:00+00:00,5.55,7.05,0.379,0.0,10.25,7.7,0.387,4.3,5554.46
2026-02-01 00:00:00+00:00,2.15,7.1,0.385,0.0,9.9,7.65,0.394,2.9,4962.48
2026-02-08 00:00:00+00:00,4.2,7.2,0.395,0.0,11.15,7.6,0.404,2.5,4840.18
2026-02-15 00:00:00+00:00,1.75,7.6,0.397,0.0,12.25,8.1,0.404,2.6,4119.6
2026-02-22 00:00:00+00:00,1.55,6.95,0.397,0.0,13.8,7.55,0.401,1.4,3748.1
2026-03-01 00:00:00+00:00,5.45,7.6,0.388,0.0,16.9,9.05,0.398,0.5,
2026-03-08 00:00:00+00:00,4.85,8.95,0.382,0.0,15.3,9.2,0.388,1.0,
2026-03-15 00:00:00+00:00,2.2,8.75,0.381,0.0,12.75,9.25,0.385,2.7,
2026-03-22 00:00:00+00:00,3.85,8.6,0.372,0.0,13.7,9.0,0.384,0.1,
2026-03-29 00:00:00+00:00,1.639,8.5,0.363,0.0,13.85,9.0,0.374,1.0,
2026-04-05 00:00:00+00:00,5.0,8.45,0.354,0.0,15.315,9.35,0.362,0.1,
2026-04-12 00:00:00+00:00,5.4,9.2235,0.346,0.0,15.2325,9.65,0.354,0.8,
